     n                 r           density          velocity             B_phi               B_z          pressure
                    (cm)         (mg/cm^3)            (km/s)          (Mgauss)          (Mgauss)         (kJ/cm^3)
==================================================================================================================
     1  0.0000000000D+00  0.0000000000D+00  0.0000000000D+00  0.0000000000D+00  6.5222937538D+00  4.0544521672D+01
     2  3.5630897820D-06  9.1817087915D-06 -1.4846218408D-03  2.8940209611D-03  6.5222862523D+00  4.0544428411D+01
     3  3.5704191726D-06  9.2026968101D-06 -1.4876757526D-03  2.8973267252D-03  6.5222862491D+00  4.0544428369D+01
     4  3.5777636403D-06  9.2237328042D-06 -1.4907359466D-03  2.9006362653D-03  6.5222862457D+00  4.0544428328D+01
     5  3.5851232157D-06  9.2448168834D-06 -1.4938024355D-03  2.9039495858D-03  6.5222862424D+00  4.0544428286D+01
     6  3.5924979300D-06  9.2659491578D-06 -1.4968752321D-03  2.9072666911D-03  6.5222862391D+00  4.0544428245D+01
     7  3.5998878144D-06  9.2871297374D-06 -1.4999543498D-03  2.9105875854D-03  6.5222862358D+00  4.0544428203D+01
     8  3.6072928998D-06  9.3083587326D-06 -1.5030398013D-03  2.9139122731D-03  6.5222862324D+00  4.0544428162D+01
     9  3.6147132180D-06  9.3296362542D-06 -1.5061315996D-03  2.9172407584D-03  6.5222862290D+00  4.0544428121D+01
    10  3.6221487996D-06  9.3509624130D-06 -1.5092297577D-03  2.9205730458D-03  6.5222862257D+00  4.0544428078D+01
    11  3.6295996767D-06  9.3723373203D-06 -1.5123342891D-03  2.9239091397D-03  6.5222862223D+00  4.0544428037D+01
    12  3.6370658805D-06  9.3937610873D-06 -1.5154452065D-03  2.9272490442D-03  6.5222862189D+00  4.0544427994D+01
    13  3.6445474425D-06  9.4152338260D-06 -1.5185625231D-03  2.9305927637D-03  6.5222862156D+00  4.0544427953D+01
    14  3.6520443945D-06  9.4367556482D-06 -1.5216862523D-03  2.9339403027D-03  6.5222862121D+00  4.0544427910D+01
    15  3.6595567677D-06  9.4583266661D-06 -1.5248164070D-03  2.9372916656D-03  6.5222862087D+00  4.0544427867D+01
    16  3.6670845942D-06  9.4799469921D-06 -1.5279530007D-03  2.9406468565D-03  6.5222862053D+00  4.0544427825D+01
    17  3.6746279058D-06  9.5016167390D-06 -1.5310960464D-03  2.9440058800D-03  6.5222862018D+00  4.0544427782D+01
    18  3.6821867340D-06  9.5233360197D-06 -1.5342455573D-03  2.9473687405D-03  6.5222861985D+00  4.0544427740D+01
    19  3.6897611112D-06  9.5451049475D-06 -1.5374015471D-03  2.9507354423D-03  6.5222861950D+00  4.0544427697D+01
    20  3.6973510689D-06  9.5669236357D-06 -1.5405640287D-03  2.9541059897D-03  6.5222861915D+00  4.0544427655D+01
    21  3.7049566395D-06  9.5887921984D-06 -1.5437330157D-03  2.9574803872D-03  6.5222861881D+00  4.0544427611D+01
    22  3.7125778551D-06  9.6107107492D-06 -1.5469085213D-03  2.9608586391D-03  6.5222861846D+00  4.0544427568D+01
    23  3.7202147475D-06  9.6326794027D-06 -1.5500905592D-03  2.9642407500D-03  6.5222861812D+00  4.0544427524D+01
    24  3.7278673494D-06  9.6546982732D-06 -1.5532791426D-03  2.9676267241D-03  6.5222861777D+00  4.0544427482D+01
    25  3.7355356932D-06  9.6767674756D-06 -1.5564742851D-03  2.9710165660D-03  6.5222861742D+00  4.0544427438D+01
    26  3.7432198107D-06  9.6988871249D-06 -1.5596760000D-03  2.9744102800D-03  6.5222861707D+00  4.0544427394D+01
    27  3.7509197349D-06  9.7210573364D-06 -1.5628843010D-03  2.9778078705D-03  6.5222861672D+00  4.0544427352D+01
    28  3.7586354979D-06  9.7432782257D-06 -1.5660992016D-03  2.9812093420D-03  6.5222861637D+00  4.0544427308D+01
    29  3.7663671324D-06  9.7655499087D-06 -1.5693207153D-03  2.9846146989D-03  6.5222861601D+00  4.0544427264D+01
    30  3.7741146714D-06  9.7878725016D-06 -1.5725488559D-03  2.9880239456D-03  6.5222861566D+00  4.0544427221D+01
    31  3.7818781473D-06  9.8102461204D-06 -1.5757836368D-03  2.9914370867D-03  6.5222861531D+00  4.0544427176D+01
    32  3.7896575928D-06  9.8326708820D-06 -1.5790250717D-03  2.9948541264D-03  6.5222861495D+00  4.0544427132D+01
    33  3.7974530409D-06  9.8551469034D-06 -1.5822731744D-03  2.9982750694D-03  6.5222861460D+00  4.0544427088D+01
    34  3.8052645243D-06  9.8776743016D-06 -1.5855279586D-03  3.0016999200D-03  6.5222861424D+00  4.0544427043D+01
    35  3.8130920766D-06  9.9002531940D-06 -1.5887894380D-03  3.0051286827D-03  6.5222861390D+00  4.0544427000D+01
    36  3.8209357299D-06  9.9228836986D-06 -1.5920576263D-03  3.0085613620D-03  6.5222861353D+00  4.0544426955D+01
    37  3.8287955184D-06  9.9455659330D-06 -1.5953325376D-03  3.0119979624D-03  6.5222861317D+00  4.0544426911D+01
    38  3.8366714745D-06  9.9683000157D-06 -1.5986141853D-03  3.0154384883D-03  6.5222861281D+00  4.0544426866D+01
    39  3.8445636315D-06  9.9910860651D-06 -1.6019025835D-03  3.0188829441D-03  6.5222861245D+00  4.0544426821D+01
    40  3.8524720230D-06  1.0013924200D-05 -1.6051977460D-03  3.0223313345D-03  6.5222861209D+00  4.0544426777D+01
    41  3.8603966826D-06  1.0036814540D-05 -1.6084996868D-03  3.0257836640D-03  6.5222861173D+00  4.0544426732D+01
    42  3.8683376433D-06  1.0059757203D-05 -1.6118084199D-03  3.0292399368D-03  6.5222861137D+00  4.0544426687D+01
    43  3.8762949387D-06  1.0082752310D-05 -1.6151239590D-03  3.0327001577D-03  6.5222861101D+00  4.0544426641D+01
    44  3.8842686027D-06  1.0105799980D-05 -1.6184463185D-03  3.0361643311D-03  6.5222861065D+00  4.0544426596D+01
    45  3.8922586686D-06  1.0128900334D-05 -1.6217755121D-03  3.0396324616D-03  6.5222861028D+00  4.0544426551D+01
    46  3.9002651706D-06  1.0152053492D-05 -1.6251115540D-03  3.0431045535D-03  6.5222860991D+00  4.0544426505D+01
    47  3.9082881420D-06  1.0175259575D-05 -1.6284544582D-03  3.0465806116D-03  6.5222860954D+00  4.0544426460D+01
    48  3.9163276170D-06  1.0198518703D-05 -1.6318042390D-03  3.0500606403D-03  6.5222860918D+00  4.0544426414D+01
